Provincia di destinazione;Regione geografica di residenza;Paese di residenza;Esercizi alberghieri - Arrivi;Esercizi alberghieri - Presenze;Esercizi complementari - Arrivi;Esercizi complementari - Presenze;Totale esercici ricettivi - Arrivi;Totale esercici ricettivi - Presenze
Rieti;Paesi extraeuropei;Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco);34;62;2;4;36;66
Rieti;Paesi extraeuropei;Sud Africa;6;7;3;3;9;10
Rieti;Paesi extraeuropei;Altri paesi africani;36;70;35;115;71;185
Rieti;Paesi extraeuropei;Israele;67;97;20;46;87;143
Rieti;Paesi extraeuropei;Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen);24;44;7;20;31;64
Rieti;Paesi extraeuropei;Cina;2400;2428;4;8;2404;2436
Rieti;Paesi extraeuropei;Giappone;38;54;11;21;49;75
Rieti;Paesi extraeuropei;Corea del sud;66;72;..;..;66;72
Rieti;Paesi extraeuropei;India;18;32;2;2;20;34
Rieti;Paesi extraeuropei;Altri Paesi dell'Asia;101;124;10;12;111;136
Rieti;Paesi extraeuropei;Canada;99;207;40;104;139;311
Rieti;Paesi extraeuropei;Stati Uniti;411;680;136;315;547;995
Rieti;Paesi extraeuropei;Messico;17;29;2;2;19;31
Rieti;Paesi extraeuropei;Argentina;35;41;21;77;56;118
Rieti;Paesi extraeuropei;Brasile;134;176;21;34;155;210
Rieti;Paesi extraeuropei;Venezuela;20;23;..;..;20;23
Rieti;Paesi extraeuropei;Altri paesi dell'America Centro- Meridionale;53;87;4;6;57;93
Rieti;Paesi extraeuropei;Australia;83;131;28;45;111;176
Rieti;Paesi extraeuropei;Nuova Zelanda;11;19;4;15;15;34
Rieti;Paesi extraeuropei;Altri Paesi dell'Oceania;..;..;..;..;..;..
Rieti;Paesi extraeuropei;Altri;..;..;..;..;..;..
Roma;Paesi Europei non UE;  Islanda;3385;8471;446;1468;3831;9939
Roma;Paesi Europei non UE;  Norvegia;50294;128661;9234;34801;59528;163462
Roma;Paesi Europei non UE;  Russia;129992;314049;19898;69833;149890;383882
Roma;Paesi Europei non UE;  Turchia;80258;226939;11212;36532;91470;263471
Roma;Paesi Europei non UE;Svizzera e Liechtenstein;70185;178429;16732;64220;86917;242649
Roma;Paesi Europei non UE;  Altri paesi europei;33417;83195;4759;16642;38176;99837
Roma;Paesi extraeuropei;Egitto;18717;47235;2058;7121;20775;54356
Roma;Paesi extraeuropei;Paesi dell'Africa mediterranea (Libia, Tunisia, Algeria, Marocco);27980;71025;3595;13970;31575;84995
Roma;Paesi extraeuropei;Sud Africa;13546;34329;2385;7495;15931;41824
Roma;Paesi extraeuropei;Altri paesi africani;28361;69225;4018;14874;32379;84099
Roma;Paesi extraeuropei;Israele;77529;200119;11466;41302;88995;241421
Roma;Paesi extraeuropei;Altri Paesi del medio oriente (Arabia Saudita, Barhein, Emirati Arabi Uniti, Giordania, Irak, Iran, Kuwait, Oman, Quatar, Siria, Yemen);94911;242373;10091;34148;105002;276521
Roma;Paesi extraeuropei;Cina;476725;1043942;25456;85152;502181;1129094
Roma;Paesi extraeuropei;Giappone;176627;461424;6895;22847;183522;484271
Roma;Paesi extraeuropei;Corea del sud;167331;423929;15551;51968;182882;475897
Roma;Paesi extraeuropei;India;92972;245434;9375;32976;102347;278410
Roma;Paesi extraeuropei;Altri Paesi dell'Asia;178085;444502;20371;72065;198456;516567
Roma;Paesi extraeuropei;Canada;141089;376923;25421;84835;166510;461758
Roma;Paesi extraeuropei;Stati Uniti;977502;2634244;122295;423849;1099797;3058093
Roma;Paesi extraeuropei;Messico;66557;169832;12385;54484;78942;224316
Roma;Paesi extraeuropei;Argentina;133670;341258;24461;98667;158131;439925
Roma;Paesi extraeuropei;Brasile;138818;352605;21248;74927;160066;427532
Roma;Paesi extraeuropei;Venezuela;9711;24742;1252;4182;10963;28924
Roma;Paesi extraeuropei;Altri Paesi dell'America Settentrionale;112;252;53;172;165;424
Roma;Paesi extraeuropei;Altri paesi dell'America Centro- Meridionale;107479;267872;22870;84796;130349;352668
Roma;Paesi extraeuropei;Australia;144059;425758;42256;132111;186315;557869
Roma;Paesi extraeuropei;Nuova Zelanda;17141;43417;5023;18240;22164;61657
Roma;Paesi extraeuropei;Altri Paesi dell'Oceania;4643;12256;144;425;4787;12681
Roma;Paesi extraeuropei;Altri;39918;101299;10929;35262;50847;136561
Latina;Paesi Europei non UE;  Islanda;58;115;2;6;60;121
Latina;Paesi Europei non UE;  Norvegia;2122;5092;144;583;2266;5675
Latina;Paesi Europei non UE;  Russia;6545;16356;296;1255;6841;17611
Latina;Paesi Europei non UE;  Turchia;211;450;23;41;234;491
Latina;Paesi Europei non UE;Svizzera e Liechtenstein;2452;6084;498;1536;2950;7620
Latina;Paesi Europei non UE;  Altri paesi europei;1227;2589;88;633;1315;3222
Latina;Paesi extraeuropei;Egitto;83;157;3;7;86;164
